family,pnums,file,title,chars,size
MVP落地/产品实现,,故事宇宙工作台 MVP 后端文档.docx,后端 P0 接口 Controller + Service 代码骨架 v1.0,45724,38846
MVP落地/产品实现,,故事宇宙工作台 MVP 开发任务清单 v1.0.docx,一、任务拆分总原则,13534,26406
MVP落地/产品实现,,故事宇宙工作台 MVP 数据库迁移文件草案 (1).docx,数据库 Migration 文件草案 v1.0,32499,25015
MVP落地/产品实现,,故事宇宙工作台 MVP 数据库迁移文件草案.docx,数据库 Migration 文件草案 v1.0,32499,25014
MVP落地/产品实现,,故事宇宙工作台 MVP 联调清单.docx,P0 前后端联调清单 + Mock 数据测试流程 v1.0,23501,32775
MVP落地/产品实现,,故事宇宙工作台 MVP 设计规范.docx,Figma 组件库清单 + 页面 Frame 命名规范 + 交互连线清单 v1.0,19589,27383
MVP落地/产品实现,,故事宇宙工作台 MVP 页面原型与交互说明.docx,页面原型与交互说明 v1.0,11181,25425
其他/待判定,,故事宇宙工作台 MVP.docx,AI Prompt 与结构化输出模板 v1.0,20719,28481
MVP落地/产品实现,,故事宇宙工作台_MVP_PRD_1.0.docx,面向长篇小说、网文、剧本、游戏叙事与 AI 创作的作品设定生成与叙事管理系统,7476,54038
MVP落地/产品实现,,故事宇宙工作台产品开发企划案.docx,面向长篇小说、网文、剧本、游戏叙事与 AI 创作的作品设定生成与叙事管理系统,17731,39323
